Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name
SRR19600450,RNA-Seq,86,3104985452,PRJNA847581,SAMN28944727,1272382644,mES cells,EPFL,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX15651658,Del(d1-d4),NextSeq 500,GSM6226349,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:44:00Z,1,GSM6226349,stembryo,SRP379339,stembryo,,,,
SRR19600451,RNA-Seq,86,2641713170,PRJNA847581,SAMN28944728,1080122050,mES cells,EPFL,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX15651657,Del(d1-d4),NextSeq 500,GSM6226348,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:39:00Z,1,GSM6226348,stembryo,SRP379339,stembryo,,,,
SRR19600452,RNA-Seq,84,3439818480,PRJNA847581,SAMN28944729,1382445817,mES cells,EPFL,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX15651656,Del(CBS4),NextSeq 500,GSM6226347,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:43:00Z,1,GSM6226347,stembryo,SRP379339,stembryo,,,,
SRR19600453,RNA-Seq,84,3041643780,PRJNA847581,SAMN28944730,1218050286,mES cells,EPFL,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX15651655,Del(CBS4),NextSeq 500,GSM6226346,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:39:00Z,1,GSM6226346,stembryo,SRP379339,stembryo,,,,
SRR19600454,RNA-Seq,84,3288544560,PRJNA847581,SAMN28944731,1316346853,mES cells,EPFL,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX15651654,Del(CBS4),NextSeq 500,GSM6226345,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:40:00Z,1,GSM6226345,stembryo,SRP379339,stembryo,,,,
SRR19600455,RNA-Seq,84,3022931352,PRJNA847581,SAMN28944732,1210857817,mES cells,EPFL,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX15651653,Del(CBS4),NextSeq 500,GSM6226344,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T16:05:00Z,1,GSM6226344,stembryo,SRP379339,stembryo,,,,
SRR19600456,RNA-Seq,84,2201732400,PRJNA847581,SAMN28944733,902911213,mES cells,EPFL,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX15651652,Del(CBS2),NextSeq 500,GSM6226343,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:36:00Z,1,GSM6226343,stembryo,SRP379339,stembryo,,,,
SRR19600457,RNA-Seq,84,2420902092,PRJNA847581,SAMN28944734,978476082,mES cells,EPFL,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX15651651,Del(CBS2),NextSeq 500,GSM6226342,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:38:00Z,1,GSM6226342,stembryo,SRP379339,stembryo,,,,
SRR19600458,RNA-Seq,86,3032150074,PRJNA847581,SAMN28944735,1251175302,mES cells,EPFL,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX15651650,Del(CBS2),NextSeq 500,GSM6226341,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:38:00Z,1,GSM6226341,stembryo,SRP379339,stembryo,,,,
SRR19600459,RNA-Seq,86,3561983088,PRJNA847581,SAMN28944736,1449108720,mES cells,EPFL,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX15651649,Del(CBS2),NextSeq 500,GSM6226340,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:47:00Z,1,GSM6226340,stembryo,SRP379339,stembryo,,,,
SRR19600460,RNA-Seq,84,2263356984,PRJNA847581,SAMN28944737,917990970,mES cells,EPFL,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX15651648,Del(CBS1),NextSeq 500,GSM6226339,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-04-28T00:00:00Z,2022-06-09T15:39:00Z,1,GSM6226339,stembryo,SRP379339,stembryo,,,,
