Beccari_24h_rep1	SRR6223669
Beccari_48h_rep1	SRR6223670
Beccari_72h_rep1	SRR6223671
Beccari_96h_rep1	SRR6223672
Beccari_120h_rep1	SRR6223673
Beccari_144h_rep1	SRR6223674
Beccari_168h_rep1	SRR6223675
Beccari_24h_rep2	SRR6223676
Beccari_48h_rep2	SRR6223677
Beccari_72h_rep2	SRR6223678
Beccari_96h_rep2	SRR6223679
Beccari_120h_rep2	SRR6223680
Beccari_144h_rep2	SRR6223681
Beccari_168h_rep2	SRR6223682
Beccari_embryo_e6_rep1	SRR7086627
Beccari_embryo_e6_rep2	SRR7086628
Beccari_embryo_e6_rep3	SRR7086629
Beccari_embryo_e7_rep1	SRR7086630
Beccari_embryo_e7_rep2	SRR7086631
Beccari_embryo_e7_rep3	SRR7086632
Beccari_embryo_e8_rep1	SRR7086633
Beccari_embryo_e8_rep2	SRR7086634
Beccari_embryo_e9_rep1	SRR7086635
Beccari_embryo_e9_rep2	SRR7086636
